"comparison","model","burst","correction_type","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","CatEmbed",0.0422134700996438,0.00932862790800702,0.0239296953747748,0.0604972448245128,4.52515316463751,6.03517814292207e-06
"model",NA,"Burst_1","uncorrected","roc_auc","TabPFN","GANDALF",0.02943474123676,0.00977846380641524,0.0102693043520577,0.0486001781214624,3.01016006394063,0.0026111004703879
"model",NA,"Burst_1","uncorrected","roc_auc","LSTM","GANDALF",-0.291701979395774,0.0146153140378702,-0.320347468532743,-0.263056490258806,-19.9586528650658,1.26064961317801e-88
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","GANDALF",-0.0457404722468692,0.0116446481465279,-0.0685635632267049,-0.0229173812670334,-3.92802527575792,8.56462115432228e-05
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","GANDALF",0.0431315942913775,0.00935532226824629,0.0247954995818492,0.0614676890009058,4.61038038612247,4.01932850132986e-06
"model",NA,"Burst_1","uncorrected","roc_auc","LSTM","TabPFN",-0.321136720632534,0.0140378892380428,-0.348650477958061,-0.293622963307008,-22.8764250228055,7.97777717770516e-116
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","TabPFN",-0.0751752134836292,0.01091081681718,-0.0965600214872159,-0.0537904054800425,-6.88997118577406,5.58036899384626e-12
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","TabPFN",0.0136968530546174,0.00842423682722588,-0.00281434772398126,0.0302080538332161,1.62588651477024,0.103973799353406
"model",NA,"Burst_1","uncorrected","roc_auc","TSSeq","LSTM",0.245961507148905,0.0153954813428994,0.215786918192164,0.276136096105646,15.9762141676944,1.87173937062747e-57
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","LSTM",0.334833573687152,0.0137466217716901,0.307890690105545,0.361776457268759,24.3575170138682,4.82600645218499e-131
"model",NA,"Burst_1","uncorrected","roc_auc","HydraRocket","TSSeq",0.0888720665382466,0.0105332889734907,0.068227199511452,0.109516933565041,8.43725703926973,3.24871500495784e-17
