"contrast_level","comparison","model","burst","correction_type","beh_rarity","metric","Level1","Level2","Difference","SE","CI_low","CI_high","z","p"
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","SVC","RF",-0.775900700534314,0.0387035679859894,-0.851758299860051,-0.700043101208578,-20.0472654308045,2.13249062979943e-89
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","XGB","RF",-0.154096923351387,0.0576126858597096,-0.267015712689038,-0.0411781340137363,-2.67470472955596,0.00747950928407809
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","CatEmbed","RF",-0.360903779704808,0.0678617604711456,-0.493910386155738,-0.227897173253879,-5.31822011688398,1.04787254047018e-07
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","GANDALF","RF",-0.362978659991838,0.0678813036156312,-0.496023570302104,-0.229933749681572,-5.34725529207801,8.92980214890289e-08
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TabPFN","RF",-0.170522058590618,0.0590559157338634,-0.286269526503023,-0.0547745906782137,-2.88746785942799,0.00388356280755677
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","LSTM","RF",-0.673911204961363,0.0521160208968744,-0.776056728936773,-0.571765680985952,-12.9309796366626,3.00959474733299e-38
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","RF",-0.232752590472439,0.0635052666332914,-0.357220625902303,-0.108284555042575,-3.66509114616367,0.000247250511497855
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","HydraRocket","RF",-0.0955862648214399,0.0515410524845512,-0.196604871416449,0.00543234177356909,-1.85456563678227,0.0636582790340978
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","XGB","SVC",0.621803777182927,0.0574321028061949,0.509238924126383,0.734368630239471,10.8267632003865,2.57082789587613e-27
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","CatEmbed","SVC",0.414996920829506,0.0671675669530189,0.283350908672406,0.546642932986606,6.178531390303,6.47006257778365e-10
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","GANDALF","SVC",0.412922040542476,0.067181072677507,0.281249557651795,0.544594523433158,6.1464043976292,7.92590569897094e-10
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TabPFN","SVC",0.605378641943696,0.0588431905407286,0.49004810774844,0.720709176138952,10.2879982608129,7.98184277139179e-25
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","LSTM","SVC",0.101989495572951,0.0501987457419663,0.00360176184961401,0.200377229296289,2.03171402124671,0.0421826156325164
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","SVC",0.543148110061875,0.0631528726804096,0.419370754088029,0.666925466035721,8.60052895472422,7.93495256692131e-18
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","HydraRocket","SVC",0.680314435712874,0.0514465036667494,0.579481141395538,0.781147730030211,13.2237253695545,6.4013208704902e-40
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","CatEmbed","XGB",-0.206806856353421,0.0800533015855742,-0.36370844430467,-0.0499052684021727,-2.5833644866271,0.00978418957474673
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","GANDALF","XGB",-0.208881736640451,0.080069709453963,-0.365815483422805,-0.0519479898580971,-2.60874852756335,0.00908739963830887
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TabPFN","XGB",-0.0164251352392312,0.0727530000275683,-0.159018395060507,0.126168124582044,-0.225765744821618,0.821383620902157
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","LSTM","XGB",-0.519814281609976,0.0672032833629755,-0.651530296644247,-0.388098266575704,-7.73495364508275,1.03440787244999e-14
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","XGB",-0.078655667121052,0.0764049919514484,-0.228406699584963,0.0710953653428595,-1.02945717435628,0.303264894112906
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","HydraRocket","XGB",0.0585106585299472,0.0668007768835312,-0.0724164583010697,0.189437775360964,0.875897875139416,0.381085554790762
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","GANDALF","CatEmbed",-0.00207488028702973,0.0875415827114384,-0.173653229551083,0.169503468977024,-0.0237016538057019,0.981090586831285
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TabPFN","CatEmbed",0.19038172111419,0.0810860514895559,0.0314559805461001,0.34930746168228,2.34789729696866,0.0188797263005237
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","LSTM","CatEmbed",-0.313007425256554,0.0756664545640591,-0.461310951039947,-0.164703899473162,-4.13667360338078,3.52376782409236e-05
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","CatEmbed",0.128151189232369,0.0843288158085936,-0.0371302526113862,0.293432631076125,1.51966072336699,0.12859626777666
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","HydraRocket","CatEmbed",0.265317514883368,0.0758341795544674,0.116685254159469,0.413949775607268,3.49865346262243,0.000467613903909631
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TabPFN","GANDALF",0.19245660140122,0.0811021206344576,0.0334993658878603,0.351413836914579,2.37301564861242,0.0176435164006993
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","LSTM","GANDALF",-0.310932544969525,0.0756781471883913,-0.459258987875493,-0.162606102063557,-4.10861730263423,3.98035020643599e-05
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","GANDALF",0.130226069519399,0.0843437003252479,-0.0350845454409261,0.295536684479724,1.54399284140035,0.122590066846014
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","HydraRocket","GANDALF",0.267392395170398,0.0758518558820782,0.118725489481002,0.416059300859794,3.52519252246241,0.00042317512231654
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","LSTM","TabPFN",-0.503389146370745,0.0684114431021378,-0.637473110981346,-0.369305181760143,-7.35825943065092,1.86323670116704e-13
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","TabPFN",-0.0622305318818208,0.0774943392512232,-0.214116645819947,0.0896555820563053,-0.803033260017615,0.42195551080849
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","HydraRocket","TabPFN",0.0749357937691784,0.0680504959381937,-0.0584407273997705,0.208312314938127,1.10117924544206,0.270818652738579
"within_behaviour_rarity","model",NA,"Burst_4","uncorrected","rare","precision","TSSeq","LSTM",0.441158614488924,0.0721446005267171,0.299757795777529,0.582559433200319,6.11492213232992,9.66041226431273e-10
